Track,Album,Artist,Year,Category
Firefly - Main Title,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Big Bar Fight,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Heart of Gold Montage,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Whitefall / Book,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Early Takes Serenity,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
The Funeral,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Rivers Perception / Saffron,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Mal Fights Niska / Back Home,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
River Tricks Early,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
River Understands Simon,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Leaving / Caper / Spaceball,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Rivers Afraid / Niska / Torture,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
In My Bunk / Jaynes Statue / Boom,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Inaras Suite,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Out Of Gas / Empty Derelict,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Books Hair / Ready For Battle,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Tears / Rivers Eyes,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Cows / New Dress / My Crew,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Boarding The Serenity / Derelict,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Burgess Kills / Captain & Ship,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Saved / Isnt Home? / Reavers,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Reavers Chase Serenity,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Rivers Dance,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Inside The Tam House,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Dying Ship / Naked Mal,Firefly (Original Soundtrack),Greg Edmonson,2005,Television
Main Titles,Blade Runner (Official Score),Vangelis,1994,Movie
Blush Response,Blade Runner (Official Score),Vangelis,1994,Movie
Wait for Me,Blade Runner (Official Score),Vangelis,1994,Movie
Rachel's Song,Blade Runner (Official Score),Vangelis,1994,Movie
Love Theme,Blade Runner (Official Score),Vangelis,1994,Movie
"One More Kiss, Dear",Blade Runner (Official Score),Vangelis,1994,Movie
Blade Runner Blues,Blade Runner (Official Score),Vangelis,1994,Movie
Memories of Green,Blade Runner (Official Score),Vangelis,1994,Movie
Tales of the Future,Blade Runner (Official Score),Vangelis,1994,Movie
Damask Rose,Blade Runner (Official Score),Vangelis,1994,Movie
Blade Runner (End Titles),Blade Runner (Official Score),Vangelis,1994,Movie
Tears in Rain,Blade Runner (Official Score),Vangelis,1994,Movie
Theme from 'The Terminator',The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
'The Terminator' Main Title,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
The Terminator's Arrival,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Reese Chased,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Sarah on Her Motorbike,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Gun Shop/Reese in Alley,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Sarah in the Bar,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Tech Noir/Alley Chase,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Garage Chase,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Arm & Eye Surgery,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Police Station/Escape from Police Station,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Future Flashback/Terminator Infiltration,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Conversation by the Window/Love Scene,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Tunnel Chase,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Death By Fire/Terminator Gets Up,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Factory Chase,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Reese's Death/Terminator Sits Up/'You're Terminated!',The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Sarah's Destiny/The Coming Storm,The Terminator (The Definitive Edition Remaster),Brad Fiedel,1994,Movie
Prologue / Anvil of Crom,Conan the Barbarian,Basil Poledouris,1982,Movie
Riddle of Steel / Riders of Doom,Conan the Barbarian,Basil Poledouris,1982,Movie
